,Car		Design 		Vol	Weight		Emission	
0,Toyota		Aygo		1000	790		99
1,Mitsubishi 	SpaceStar	1200	1160		95
2,Skoda		Citigo		1000	929		95
3,Fiat		500		900	865		90
4,Mini		Cooper		1500	1140		105
5,VW		Up 		1000	929		105
6,Skoda		Fabia		1400	1109		90
7,Mercedes	A-Class		1500	1365		92
8,Ford		Fiesta		1500	1112		98
9,Audi		A1		1600	1150		99
10,Hyundai		I20		1100	980		99
11,Suzuki		Swift		1300	990		101
12,Ford		Fiesta		1000	1112		99
13,Honda		Civic		1600	1252		94
14,Hundai		I30		1600	1326		97
15,Opel		Astra		1600	1330		97
16,Mercedes	C-Class		2100	1365		99
17,Skoda		Octavia		1600	1415		99
18,Volvo		S60		2000	1415		99
19,Mercedes	CLA		1500	1465		102
20,Audi		A4		2000	1490		104
21,Audi		A6		2000	1725		114
22,Volvo		V70		1600	1523		109
23,Mercedes	SLK		2500	1395		120
